Posição,Código,Matricula,Nota
1,1505,19128116,92.4
2,1505,19128275,92.3
3,1505,19137517,91.6
4,1505,19132691,91.6
5,1505,19134344,90.5
6,1505,19100707,88.6
7,1505,19137087,86.2
8,1505,19128431,84.8
9,1505,19132189,81.9
10,1505,19142005,80.3
11,1505,19113995,79.4
12,1505,19111710,78.4
13,1505,19104925,77.9
14,1505,19111890,77.5
15,1505,19128866,77.0
16,1505,19110868,75.6
17,1505,19141568,74.7
18,1505,19111075,74.5
19,1505,19145144,74.3
20,1505,19111549,73.5
21,1505,19105471,73.5
22,1505,19102923,72.2
23,1505,19138268,72.1
24,1505,19102563,71.3
25,1505,19113519,71.0
26,1505,19119970,69.6
27,1505,19104688,69.3
28,1505,19143136,69.3
29,1505,19144418,69.1
30,1505,19108074,68.4
31,1505,19103041,68.0
32,1505,19106576,67.6
33,1505,19117373,67.4
34,1505,19137729,67.0
35,1505,19110416,66.9
36,1505,19124370,66.7
37,1505,19124268,66.5
38,1505,19131590,66.5
39,1505,19119957,66.5
40,1505,19118768,66.2
41,1505,19119140,65.7
42,1505,19141164,65.6
43,1505,19113697,64.7
44,1505,19121664,64.1
45,1505,19107975,63.8
46,1505,19144274,63.8
47,1505,19136025,63.7
48,1505,19136847,63.5
49,1505,19113954,63.0
50,1505,19115874,62.5
51,1505,19111541,62.4
52,1505,19105284,62.0
53,1505,19144765,60.4
54,1505,19143176,60.4
55,1505,19130782,60.3
56,1505,19110267,60.2
57,1505,19137801,59.7
58,1505,19138856,59.6
59,1505,19115449,59.5
60,1505,19118418,59.4
61,1505,19128400,58.9
62,1505,19116192,58.9
63,1505,19141387,58.8
64,1505,19119665,58.4
65,1505,19110688,58.2
66,1505,19103228,58.0
67,1505,19109048,58.0
68,1505,19144522,57.6
69,1505,19118355,57.4
70,1505,19115818,57.3
71,1505,19111357,57.3
72,1505,19123185,57.2
73,1505,19125876,57.2
74,1505,19119267,57.1
75,1505,19114113,57.1
76,1505,19125764,56.9
77,1505,19125395,56.6
78,1505,19101136,56.4
79,1505,19102877,55.9
80,1505,19125824,55.9
81,1505,19100038,55.3
82,1505,19127342,55.1
83,1505,19144563,55.1
84,1505,19138925,55.1
85,1505,19127234,54.8
86,1505,19105086,54.6
87,1505,19122292,54.4
88,1505,19125557,54.2
89,1505,19125575,54.1
90,1505,19127847,54.0
91,1505,19125331,53.6
92,1505,19132690,53.3
93,1505,19130508,53.2
94,1505,19131072,52.8
95,1505,19118075,52.7
96,1505,19140854,52.7
97,1505,19144968,52.4
98,1505,19141199,52.2
99,1505,19126401,52.0
100,1505,19102612,51.9
101,1505,19113393,51.6
102,1505,19130347,51.5
103,1505,19139024,51.5
104,1505,19110763,51.3
105,1505,19106797,51.1
106,1505,19115831,50.9
107,1505,19114026,50.5
108,1505,19112220,50.2
109,1505,19131503,49.6
110,1505,19140272,49.6
111,1505,19138543,49.4
112,1505,19139093,49.4
113,1505,19127820,49.3
114,1505,19116270,49.2
115,1505,19110752,49.0
116,1505,19117647,48.9
117,1505,19112181,48.5
118,1505,19139894,48.4
119,1505,19114230,48.3
120,1505,19124631,48.3
121,1505,19102350,48.2
122,1505,19115343,48.0
123,1505,19134128,47.9
124,1505,19139621,47.7
125,1505,19127521,47.6
126,1505,19138709,47.5
127,1505,19107051,47.3
128,1505,19110107,47.3
129,1505,19112714,47.0
130,1505,19145090,46.4
131,1505,19103964,46.4
132,1505,19107956,46.0
133,1505,19133269,46.0
134,1505,19137434,45.9
135,1505,19113247,45.7
136,1505,19130302,45.6
137,1505,19131805,45.6
138,1505,19114144,45.5
139,1505,19133302,45.5
140,1505,19108148,45.4
141,1505,19106856,45.4
142,1505,19120186,45.4
143,1505,19105961,45.1
144,1505,19106630,45.1
145,1505,19111194,45.1
146,1505,19126783,45.0
147,1505,19110589,45.0
148,1505,19134474,44.8
149,1505,19121288,44.8
150,1505,19113492,44.6
151,1505,19115994,44.4
152,1505,19128639,44.4
153,1505,19107885,44.3
154,1505,19100625,44.1
155,1505,19124939,43.9
156,1505,19112924,43.9
157,1505,19138875,43.9
158,1505,19120885,43.9
159,1505,19103346,43.8
160,1505,19118624,43.7
161,1505,19124988,43.6
162,1505,19117569,43.4
163,1505,19115837,43.4
164,1505,19121804,43.3
165,1505,19104865,43.2
166,1505,19139377,43.1
167,1505,19124459,43.1
168,1505,19125230,42.8
169,1505,19109962,42.7
170,1505,19129380,42.7
171,1505,19118270,42.6
172,1505,19133590,42.6
173,1505,19126674,42.5
174,1505,19144485,42.5
175,1505,19137562,42.4
176,1505,19133378,42.3
177,1505,19108546,42.2
178,1505,19128529,42.0
179,1505,19108752,41.8
180,1505,19139165,41.8
181,1505,19129538,41.7
182,1505,19144906,41.7
183,1505,19113925,41.6
184,1505,19113147,41.6
185,1505,19139957,41.1
186,1505,19133818,41.1
187,1505,19118447,41.0
188,1505,19119748,40.9
189,1505,19145313,40.9
190,1505,19133400,40.7
191,1505,19130870,40.6
192,1505,19135707,40.1
193,1505,19117536,39.9
194,1505,19110453,39.9
195,1505,19101572,39.8
196,1505,19135769,39.8
197,1505,19133966,39.7
198,1505,19131724,39.6
199,1505,19137219,39.4
200,1505,19141535,39.4
201,1505,19131384,39.3
202,1505,19132259,39.3
203,1505,19101513,39.1
204,1505,19110523,39.0
205,1505,19101601,38.9
206,1505,19132091,38.8
207,1505,19100265,38.8
208,1505,19106472,38.7
209,1505,19101170,38.5
210,1505,19112413,38.4
211,1505,19131116,38.2
212,1505,19140125,38.2
213,1505,19144798,37.6
214,1505,19100872,37.4
215,1505,19130462,37.3
216,1505,19133171,37.2
217,1505,19109648,37.2
218,1505,19135523,37.1
219,1505,19113903,37.1
220,1505,19134935,37.1
221,1505,19142497,37.0
222,1505,19140510,37.0
223,1505,19140859,36.9
224,1505,19115217,36.8
225,1505,19140016,36.8
226,1505,19110293,36.7
227,1505,19116668,36.7
228,1505,19109779,36.5
229,1505,19122510,36.5
230,1505,19107994,36.5
231,1505,19144895,36.3
232,1505,19112084,36.1
233,1505,19122571,36.0
234,1505,19103001,35.9
235,1505,19129986,35.8
236,1505,19131024,35.8
237,1505,19107007,35.4
238,1505,19109214,35.3
239,1505,19125110,35.3
240,1505,19106402,35.1
241,1505,19103814,35.1
242,1505,19120036,35.1
243,1505,19129735,35.0
244,1505,19134496,34.9
245,1505,19121565,34.9
246,1505,19118013,34.9
247,1505,19117749,34.8
248,1505,19139162,34.8
249,1505,19111885,34.8
250,1505,19118831,34.6
251,1505,19109754,34.4
252,1505,19101462,34.2
253,1505,19124389,34.1
254,1505,19122458,34.1
255,1505,19130765,34.0
256,1505,19101075,33.9
257,1505,19100426,33.8
258,1505,19110845,33.8
259,1505,19134665,33.8
260,1505,19144985,33.6
261,1505,19136322,33.5
262,1505,19128027,33.4
263,1505,19118310,33.3
264,1505,19127619,33.1
265,1505,19104032,33.1
266,1505,19127410,33.1
267,1505,19106514,33.0
268,1505,19108241,33.0
269,1505,19111203,32.9
270,1505,19138452,32.9
271,1505,19114220,32.8
272,1505,19116705,32.7
273,1505,19107611,32.7
274,1505,19109886,32.7
275,1505,19124576,32.6
276,1505,19107028,32.6
277,1505,19118622,32.3
278,1505,19141362,32.2
279,1505,19101737,32.1
280,1505,19109369,32.1
281,1505,19117811,32.0
282,1505,19119330,32.0
283,1505,19101519,31.9
284,1505,19122713,31.9
285,1505,19133679,31.9
286,1505,19101035,31.9
287,1505,19108189,31.7
288,1505,19101697,31.7
289,1505,19136737,31.5
290,1505,19107491,31.4
291,1505,19119602,31.3
292,1505,19121314,31.2
293,1505,19126580,31.2
294,1505,19125011,31.2
295,1505,19142568,31.1
296,1505,19144673,31.1
297,1505,19134892,31.1
298,1505,19137331,31.0
299,1505,19113144,31.0
300,1505,19138506,30.8
301,1505,19110248,30.7
302,1505,19144017,30.6
303,1505,19124732,30.5
304,1505,19116391,30.5
305,1505,19131888,30.2
306,1505,19107736,30.1
307,1505,19108153,30.0
308,1505,19131176,30.0
309,1505,19100641,29.9
310,1505,19129526,29.9
311,1505,19106565,29.9
312,1505,19104836,29.8
313,1505,19131664,29.7
314,1505,19100837,29.7
315,1505,19109658,29.6
316,1505,19141910,29.6
317,1505,19111211,29.5
318,1505,19108548,29.5
319,1505,19108786,29.5
320,1505,19117144,28.9
321,1505,19112699,28.9
322,1505,19110332,28.8
323,1505,19100244,28.8
324,1505,19138041,28.7
325,1505,19142089,28.6
326,1505,19128574,28.5
327,1505,19128463,28.4
328,1505,19134214,28.4
329,1505,19120900,28.4
330,1505,19122623,28.3
331,1505,19134857,28.3
332,1505,19134900,28.3
333,1505,19138819,28.2
334,1505,19144386,28.2
335,1505,19112007,28.2
336,1505,19128559,28.1
337,1505,19106625,28.0
338,1505,19100258,28.0
339,1505,19127691,27.9
340,1505,19114046,27.9
341,1505,19142539,27.7
342,1505,19141191,27.6
343,1505,19107581,27.6
344,1505,19105051,27.6
345,1505,19119149,27.6
346,1505,19126934,27.6
347,1505,19109420,27.5
348,1505,19118029,27.4
349,1505,19108383,27.2
350,1505,19131794,27.1
351,1505,19105972,27.0
352,1505,19117330,26.9
353,1505,19101465,26.8
354,1505,19103172,26.7
355,1505,19113663,26.6
356,1505,19112349,26.5
357,1505,19121360,26.4
358,1505,19124698,26.3
359,1505,19103792,26.0
360,1505,19115472,25.9
361,1505,19138132,25.8
362,1505,19122593,25.8
363,1505,19110691,25.7
364,1505,19115320,25.6
365,1505,19122207,25.6
366,1505,19102957,25.6
367,1505,19112154,25.5
368,1505,19116074,25.4
369,1505,19144941,25.4
370,1505,19137664,25.1
371,1505,19139082,25.1
372,1505,19122835,25.1
373,1505,19128701,25.0
374,1505,19107158,25.0
375,1505,19123805,25.0
376,1505,19135016,24.9
377,1505,19110226,24.9
378,1505,19137748,24.8
379,1505,19108693,24.8
380,1505,19104530,24.8
381,1505,19123253,24.7
382,1505,19130611,24.7
383,1505,19126321,24.6
384,1505,19138975,24.4
385,1505,19105533,24.3
386,1505,19102652,24.3
387,1505,19140607,24.1
388,1505,19125391,23.8
389,1505,19108972,23.8
390,1505,19107055,23.7
391,1505,19139962,23.6
392,1505,19136666,23.5
393,1505,19144449,23.4
394,1505,19130824,23.2
395,1505,19103121,23.2
396,1505,19118468,23.0
397,1505,19108900,22.9
398,1505,19118521,22.9
399,1505,19111243,22.9
400,1505,19121196,22.9
401,1505,19125976,22.7
402,1505,19121614,22.6
403,1505,19117217,22.5
404,1505,19107954,22.5
405,1505,19136079,22.5
406,1505,19131778,22.4
407,1505,19114497,22.1
408,1505,19109691,22.1
409,1505,19132168,22.0
410,1505,19116547,21.9
411,1505,19111812,21.8
412,1505,19120775,21.7
413,1505,19128272,21.4
414,1505,19132161,21.3
415,1505,19130781,21.1
416,1505,19120856,21.1
417,1505,19144385,21.1
418,1505,19137340,21.1
419,1505,19118111,20.9
420,1505,19119092,20.9
421,1505,19111044,20.7
422,1505,19113512,20.7
423,1505,19130024,20.7
424,1505,19144588,20.7
425,1505,19116583,20.4
426,1505,19111356,20.4
427,1505,19142749,20.4
428,1505,19125441,20.3
429,1505,19113340,20.3
430,1505,19105954,20.0
431,1505,19100285,20.0
432,1505,19103902,19.9
433,1505,19106714,19.8
434,1505,19141842,19.7
435,1505,19102581,19.7
436,1505,19128788,19.6
437,1505,19117075,19.6
438,1505,19113477,19.3
439,1505,19135247,19.1
440,1505,19104496,19.1
441,1505,19140563,19.1
442,1505,19128997,19.0
443,1505,19111607,19.0
444,1505,19107376,19.0
445,1505,19126794,19.0
446,1505,19103667,19.0
447,1505,19117118,19.0
448,1505,19104050,18.9
449,1505,19141344,18.9
450,1505,19144190,18.9
451,1505,19118483,18.8
452,1505,19140023,18.7
453,1505,19111916,18.7
454,1505,19131161,18.7
455,1505,19126247,18.6
456,1505,19124987,18.5
457,1505,19106668,18.5
458,1505,19104117,18.5
459,1505,19141170,18.4
460,1505,19118197,18.4
461,1505,19129870,18.2
462,1505,19108076,17.9
463,1505,19140683,17.8
464,1505,19124878,17.8
465,1505,19117226,17.7
466,1505,19132275,17.5
467,1505,19126250,17.4
468,1505,19141014,17.4
469,1505,19134316,17.3
470,1505,19106925,17.2
471,1505,19103163,17.2
472,1505,19120877,17.1
473,1505,19114148,17.0
474,1505,19110653,16.9
475,1505,19134976,16.8
476,1505,19124001,16.8
477,1505,19108589,16.7
478,1505,19111704,16.5
479,1505,19125756,16.5
480,1505,19143318,16.4
481,1505,19113391,15.9
482,1505,19103262,15.7
483,1505,19102179,15.7
484,1505,19142199,15.3
485,1505,19125203,15.2
486,1505,19101990,15.2
487,1505,19108639,15.1
488,1505,19103389,14.9
489,1505,19131680,14.9
490,1505,19134138,14.8
491,1505,19142611,14.7
492,1505,19121359,14.7
493,1505,19104731,14.6
494,1505,19132193,14.3
495,1505,19117800,14.2
496,1505,19124906,14.2
497,1505,19113048,13.8
498,1505,19106926,13.2
499,1505,19131776,13.2
500,1505,19124095,13.1
501,1505,19117818,13.0
502,1505,19103905,12.8
503,1505,19108669,12.8
504,1505,19119067,12.8
505,1505,19121481,12.8
506,1505,19129437,12.8
507,1505,19139451,12.6
508,1505,19111493,12.5
509,1505,19130624,12.4
510,1505,19138760,12.4
511,1505,19139988,12.4
512,1505,19131532,12.3
513,1505,19113470,11.9
514,1505,19128211,11.8
515,1505,19122970,11.8
516,1505,19144203,11.7
517,1505,19101264,11.7
518,1505,19107074,10.8
519,1505,19104938,10.7
520,1505,19108968,10.1
521,1505,19106587,9.6
522,1505,19105949,9.6
523,1505,19141575,9.4
524,1505,19107367,9.2
525,1505,19114168,9.0
526,1505,19108643,8.8
527,1505,19127320,8.8
528,1505,19111109,8.7
529,1505,19131320,7.9
530,1505,19123310,7.9
531,1505,19114185,7.6
532,1505,19135382,7.0
533,1505,19102811,6.5
534,1505,19120238,6.5
535,1505,19119415,6.3
536,1505,19137547,6.0
537,1505,19137978,5.2
538,1505,19121309,5.2
539,1505,19122039,4.1
540,1505,19136020,4.1
541,1505,19128594,3.6
542,1505,19117364,2.4
